Name,no group,x,y,z
AWQ,NA,9.840274,5.275906,3.3940675
AWR,NA,10.671583,0.13758422,0.22770922
AWS,NA,9.673969,2.3997004,1.3712791
AWT,NA,9.57106,1.684534,1.2608327
AWU,NA,9.409454,1.7114121,1.1562032
AWV,NA,9.121361,2.077631,1.3451879
AWW,NA,9.344921,3.4476876,0.4178503
AWX,NA,10.276459,4.1148057,-0.29370725
AWY,NA,9.058843,3.1322777,0.3237972
AWZ,NA,9.862892,3.6135046,0.031254563
AXA,NA,11.486994,11.184382,5.301639
AXB,NA,11.521686,10.453157,6.4963083
AXC,NA,10.969109,10.599416,6.1752973
AXD,NA,11.483797,11.038655,5.906563
AXE,NA,11.471086,10.638235,5.6318836
AXF,NA,11.145411,10.927739,5.214829
AXG,NA,11.403056,10.313736,5.8494463
AXH,NA,5.560585,5.8689904,3.025783
AXI,NA,10.11158,6.568713,2.5392873
AXJ,NA,9.897553,6.615174,2.7696168
AXK,NA,10.226253,6.630327,2.3574512
AXL,NA,10.287481,6.4660997,2.7585747
AXM,NA,10.428836,1.0771271,1.4751256
AXN,NA,10.38058,1.141851,1.3526032
AXO,NA,10.181729,1.3505918,0.38067257
AXP,NA,10.358986,3.912237,0.42343482
AXQ,NA,10.340436,3.737794,-0.8918296
AXR,NA,10.399942,3.4419346,0.5070326
AXS,NA,10.43679,3.5883517,-0.24845403
AXT,NA,10.35352,3.4211292,0.20488313
AXU,NA,9.380899,7.260432,3.7449603
AXV,NA,9.937535,8.830716,4.713025
AXW,NA,11.144528,11.918546,5.7073507
AXX,NA,11.567976,11.721623,6.509041
AXY,NA,10.8266945,10.61635,5.6664705
AXZ,NA,11.027432,10.7180395,5.6430874
AYA,NA,11.510989,10.291492,5.3950353
AYB,NA,8.208703,5.1182265,6.8970957
AYC,NA,10.441796,3.8834865,0.71696854
AYD,NA,1.322352,0.5171061,-0.76059175
AYE,NA,1.1323165,0.37679282,-0.63639516
AYF,NA,1.7656721,0.576374,-0.30433023
AYG,NA,1.6705973,0.83546627,-0.25119156
AYH,NA,1.8539393,0.60213983,-0.14998631
AYI,NA,1.4827013,0.71249163,-0.76031816
AYJ,NA,1.3910269,1.0227196,-0.5529451
AYK,NA,1.7305024,1.1846545,-0.7428722
AYL,NA,1.6545331,0.8529472,-0.7484279
AYM,NA,1.9100426,0.8662468,-0.6211412
AYN,NA,1.8027321,0.9770385,-0.82995456
AYO,NA,1.7771374,1.320702,-0.6450223
AYP,NA,12.107874,10.734586,6.4911127
AYQ,NA,11.386781,11.100714,6.5049605
AYR,NA,10.501411,9.299179,4.8532324
AYS,NA,10.473957,9.112351,4.684641
AYT,NA,11.062651,1.3012135,1.5155663
AYU,NA,11.46274,10.804526,6.5134325
AYV,NA,9.415157,1.809898,1.2885345
AYW,NA,9.7254715,8.171875,4.1555157
AYX,NA,7.9199033,7.049812,3.77069
AYY,NA,8.387783,7.5643063,3.8144603
AYZ,NA,9.62475,8.184491,4.144976
AZA,NA,10.821857,0.38937506,0.6444524
AZB,NA,10.798818,1.2069931,1.5400938
AZC,NA,9.30478,2.011604,1.2990153
AZD,NA,10.058292,8.922549,4.312219
AZE,NA,10.174611,9.2376995,4.7659698
AZF,NA,10.292722,9.244522,4.7138515
AZG,NA,10.380287,9.024568,4.6434364
AZH,NA,9.801381,8.61974,4.4454217
AZI,NA,11.721398,10.882994,6.1590295
AZJ,NA,11.640436,10.500217,6.424826
AZK,NA,11.682647,11.048415,5.9120364
AZL,NA,11.30435,10.212907,6.039389
AZM,NA,11.998703,10.708269,6.1969995
AZN,NA,11.47325,12.179918,6.3481455
AZO,NA,11.639003,10.356637,5.891141
AZP,NA,11.665955,11.748218,6.467948
AZQ,NA,11.726223,10.622174,5.949763
AZR,NA,11.52477,11.106035,5.4195747
AZS,NA,11.65161,11.366328,5.295505
AZT,NA,11.478032,10.343501,6.2206807
AZU,NA,11.700279,10.723209,5.883049
AZV,NA,11.99113,11.250473,6.4365773
AZW,NA,11.717857,11.769421,6.4375196
AZX,NA,11.384079,12.13141,5.4432364
AZY,NA,11.240621,11.974532,5.3743715
AZZ,NA,11.218726,11.894869,5.506365
BAA,NA,11.451123,11.707649,5.434035
BAB,NA,11.181982,11.630324,5.866849
BAC,NA,11.199354,10.620923,5.745247
BAD,NA,11.447231,11.561512,5.873666
BAE,NA,11.273798,12.117243,6.109196
BAF,NA,10.334133,0.22419864,0.69672227
BAG,NA,10.878128,0.986486,1.6533852
BAH,NA,11.567674,0.5872404,1.1009467
BAI,NA,11.354766,0.57610875,1.1958435
BAJ,NA,10.512497,0.23454672,0.013998897
BAK,NA,10.534065,0.28694484,0.21918827
BAL,NA,11.025711,0.7301775,0.80365366
BAM,NA,10.743004,0.86710465,0.25966704
BAN,NA,10.362486,0.48904887,1.2758175
BAO,NA,11.255603,10.450538,5.169625
BAP,NA,11.984126,10.872253,6.0294023
BAQ,NA,10.820381,11.143383,5.6723895
BAR,NA,11.568376,11.260243,5.6116505
BAS,NA,10.675932,0.547143,0.63710064
BAT,NA,10.465394,3.7311456,-0.34301013
BAU,NA,10.311407,3.357646,0.40458098
BAV,NA,10.506535,3.7955627,0.12973379
BAW,NA,8.6202345,5.525643,6.0113435
BAX,NA,10.610361,0.14835697,0.10419388
BAY,NA,11.588429,0.40512905,1.2448342
BAZ,NA,11.496508,0.577107,1.2837377
BBA,NA,11.101614,0.8498088,0.97315603
BBB,NA,10.449956,0.08719591,0.7418695
BBC,NA,10.646137,3.8135903,0.8067314
BBD,NA,9.043286,5.17745,3.3434548
BBE,NA,6.9625807,6.688293,3.6841063
