mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence
P03240,P03240|Ar6.16|Conus arenatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03241,P03241|Ar6.17|Conus arenatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03242,P03242|Ar6.18|Conus arenatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03243,P03243|Ar6.19|Conus arenatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03244,P03244|Ts6.4|Conus tessulatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus tessulatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03245,P03245|Ts6.5|Conus tessulatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus tessulatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03246,P03246|Ts6.6|Conus tessulatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus tessulatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03247,P03247|Ts6.7|Conus tessulatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus tessulatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03248,P03248|Ar6.20|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03249,P03249|Ar6.21|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03250,P03250|Ar6.22|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03251,P03251|Ar6.24|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03252,P03252|Ar6.27|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03253,P03253|Ar6.24|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03254,P03254|Ar6.25|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03255,P03255|Ar6.26|Conus arenatus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03256,P03256|Pn6.10|Conus pennaceus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus pennaceus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03257,P03257|Pn6.11|Conus pennaceus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus pennaceus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03258,P03258|Vn6.19|Conus ventricosus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus ventricosus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03259,P03259|Vn6.20|Conus ventricosus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus ventricosus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03260,P03260|Vn6.21|Conus ventricosus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus ventricosus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03261,P03261|Vn6.22|Conus ventricosus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus ventricosus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03262,P03262|Pn4.1|Conus pennaceus|Wild type|conotoxin|||IV|nucleic acid level,Conus pennaceus,Wild type,conotoxin,,,IV,nucleic acid level
P03263,P03263|Ar6.28|Conus arenatus|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus arenatus,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03264,P03264|Ts5.5|Conus tessulatus|Wild type|conotoxin|||V|nucleic acid level,Conus tessulatus,Wild type,conotoxin,,,V,nucleic acid level
P03265,P03265|Pn3.3|Conus pennaceus|Wild type|conotoxin|||III|nucleic acid level,Conus pennaceus,Wild type,conotoxin,,,III,nucleic acid level
P03266,P03266|Pn3.4|Conus pennaceus|Wild type|conotoxin|||III|nucleic acid level,Conus pennaceus,Wild type,conotoxin,,,III,nucleic acid level
P03267,P03267|Cal12.1.1a|Conus californicus|Wild type|conotoxin|O1 superfamily||XII|nucleic acid level,Conus californicus,Wild type,conotoxin,O1 superfamily,,XII,nucleic acid level
P03268,P03268|Cal12.1.1b|Conus californicus|Wild type|conotoxin|O1 superfamily||XII|nucleic acid level,Conus californicus,Wild type,conotoxin,O1 superfamily,,XII,nucleic acid level
P03269,P03269|Cal12.2f|Conus californicus|Wild type|conotoxin|O1 superfamily||XII|nucleic acid level,Conus californicus,Wild type,conotoxin,O1 superfamily,,XII,nucleic acid level
P03270,P03270|Cal12.2b|Conus californicus|Wild type|conotoxin|O1 superfamily||XII|nucleic acid level,Conus californicus,Wild type,conotoxin,O1 superfamily,,XII,nucleic acid level
P03271,P03271|A11GB|Conus vexillum|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus vexillum,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03272,P03272|ViTx|Conus virgo|Wild type|conotoxin|I2 superfamily||XI|nucleic acid level,Conus virgo,Wild type,conotoxin,I2 superfamily,,XI,nucleic acid level
P03273,P03273|E6.1|Conus ermineus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ermineus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03274,P03274|E6.2|Conus ermineus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ermineus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03275,P03275|SVIA mutant 1|Conus striatus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,nucleic acid level
P03276,P03276|LvVID|Conus lividus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus lividus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03277,P03277|LvVICb|Conus lividus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus lividus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03278,P03278|ABVII|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03279,P03279|ABVIH|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03280,P03280|ABVIJ|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03281,P03281|ABVIF|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03282,P03282|ABVIF mutant 1|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03283,P03283|ABVID|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03284,P03284|ABVIG|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03285,P03285|ABVIG mutant 1|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03286,P03286|ABVIL|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03287,P03287|ABVIE|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03288,P03288|ABVIC|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03289,P03289|ABVIB|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03290,P03290|ABVIN|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03291,P03291|ABVIN mutant 1|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03292,P03292|ABVIO|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03293,P03293|ABVIN mutant 2|Conus abbreviatus|Wild type|conotoxin|O1 superfamily|||nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,,nucleic acid level
P03294,P03294|ABVIM|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03295,P03295|ABVIK|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03296,P03296|Mi11.1|Conus miles|Wild type|conotoxin|I2 superfamily||XI|nucleic acid level,Conus miles,Wild type,conotoxin,I2 superfamily,,XI,nucleic acid level
P03297,P03297|Vx11.1|Conus vexillum|Wild type|conotoxin|I2 superfamily||XI|nucleic acid level,Conus vexillum,Wild type,conotoxin,I2 superfamily,,XI,nucleic acid level
P03298,P03298|Vx11.2|Conus vexillum|Wild type|conotoxin|I2 superfamily||XI|nucleic acid level,Conus vexillum,Wild type,conotoxin,I2 superfamily,,XI,nucleic acid level
P03299,P03299|Pn6.12|Conus pennaceus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus pennaceus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03300,P03300|Pn6.13|Conus pennaceus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus pennaceus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03301,P03301|Pn6.14|Conus pennaceus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus pennaceus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03302,P03302|TxMKLT1-0111|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03303,P03303|TxMKLT1-0141|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03304,P03304|TxMKLT1-015|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P03305,P03305|TxMKLT1-0211|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03306,P03306|Tx6.4|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03307,P03307|TxMKLT1-031|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03308,P03308|S18.1|Conus striatus|Wild type|conotoxin|||XVIII|nucleic acid level,Conus striatus,Wild type,conotoxin,,,XVIII,nucleic acid level
P03309,P03309|LtVIB|Conus litteratus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus litteratus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03310,P03310|TeA53|Conus textile|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus textile,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03311,P03311|BeB54|Conus betulinus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus betulinus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03312,P03312|Lt6.2|Conus litteratus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus litteratus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03313,P03313|VeG52|Conus vexillum|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus vexillum,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03314,P03314|LiCr95|Conus lividus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus lividus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03315,P03315|CaHr91|Conus capitaneus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus capitaneus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03316,P03316|MgJr93|Conus magus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus magus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03317,P03317|MgJr94|Conus magus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus magus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03318,P03318|ViKr92|Conus virgo|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus virgo,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03319,P03319|ViKr35|Conus virgo|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus virgo,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03320,P03320|LiC42|Conus lividus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus lividus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03321,P03321|Lt5a|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03322,P03322|Lt5d|Conus litteratus|Wild type|conotoxin|T superfamily|mu conotoxin|V|protein level,Conus litteratus,Wild type,conotoxin,T superfamily,mu conotoxin,V,protein level
P03323,P03323|Lt5e|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03324,P03324|Lt5b|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03325,P03325|Lt5f|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03326,P03326|Lt5i|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03327,P03327|Lt5g|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03328,P03328|Lt5h|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03329,P03329|Lt5d-1|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03330,P03330|Lt5d-2|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03331,P03331|Lt5k|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03332,P03332|Lt5j|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P03334,P03334|LtVIA|Conus litteratus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus litteratus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03335,P03335|Lt6d/Lt6e|Conus litteratus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus litteratus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03337,P03337|Lt9a|Conus litteratus|Wild type|conotoxin|P superfamily||IX|nucleic acid level,Conus litteratus,Wild type,conotoxin,P superfamily,,IX,nucleic acid level
P03338,P03338|Lt9a variant|Conus litteratus|Wild type|conotoxin|P superfamily||IX|nucleic acid level,Conus litteratus,Wild type,conotoxin,P superfamily,,IX,nucleic acid level
P03339,P03339|Lt9a variant 2|Conus litteratus|Wild type|conotoxin|P superfamily||IX|nucleic acid level,Conus litteratus,Wild type,conotoxin,P superfamily,,IX,nucleic acid level
P03340,P03340|CVIF|Conus catus|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,,,VI/VII,nucleic acid level
P03341,P03341|C6.3|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03342,P03342|C6.4|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03343,P03343|C6.5|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03344,P03344|C6.6|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03345,P03345|C6.7|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03346,P03346|C6.8|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03347,P03347|S6.1|Conus striatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03348,P03348|S6.2|Conus striatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03350,P03350|Eb6.1|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03351,P03351|Eb6.2|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03352,P03352|Eb6.3|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03353,P03353|Eb6.4|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03354,P03354|CebH2-b|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03355,P03355|Eb6.6|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03356,P03356|Eb6.8|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03357,P03357|Eb6.9|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03358,P03358|Eb6.10|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03359,P03359|Eb6.11|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03360,P03360|Eb6.12|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03361,P03361|Sx11.2|Conus striolatus|Wild type|conotoxin|I2 superfamily||XI|nucleic acid level,Conus striolatus,Wild type,conotoxin,I2 superfamily,,XI,nucleic acid level
P03362,P03362|Ar5.4|Conus arenatus|Wild type|conotoxin|||V|nucleic acid level,Conus arenatus,Wild type,conotoxin,,,V,nucleic acid level
P03363,P03363|Mi1.1|Conus miles|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus miles,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P03364,P03364|LiC53|Conus lividus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus lividus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03365,P03365|LiCr173|Conus lividus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus lividus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03366,P03366|CaFr179|Conus caracteristicus|Wild type|conotoxin|O3 superfamily||VI/VII|nucleic acid level,Conus caracteristicus,Wild type,conotoxin,O3 superfamily,,VI/VII,nucleic acid level
P03367,P03367|S6.8|Conus striatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03368,P03368|Bt15a|Conus betulinus|Wild type|conotoxin|O2 superfamily||XV|nucleic acid level,Conus betulinus,Wild type,conotoxin,O2 superfamily,,XV,nucleic acid level
P03369,P03369|Ec15a|Conus emaciatus|Wild type|conotoxin|O2 superfamily||XV|nucleic acid level,Conus emaciatus,Wild type,conotoxin,O2 superfamily,,XV,nucleic acid level
P03370,P03370|Lt7b|Conus litteratus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus litteratus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P03371,P03371|Eb6.13|Conus ebraeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03372,P03372|Co6.1|Conus coronatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus coronatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03373,P03373|Ml6.1|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03374,P03374|At6.1|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03375,P03375|Co6.2|Conus coronatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus coronatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03376,P03376|Ml6.2|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03377,P03377|Co6.3|Conus coronatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus coronatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03378,P03378|Ml6.3|Conus miliaris|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus miliaris,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03379,P03379|Co6.4|Conus coronatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus coronatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03380,P03380|Co6.5|Conus coronatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus coronatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03381,P03381|At6.2|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03382,P03382|At6.3|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03383,P03383|At6.4|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03384,P03384|Co6.6|Conus coronatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus coronatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03385,P03385|At6.5|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03386,P03386|At6.6|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03387,P03387|J6.1|Conus judaeus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus judaeus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P03388,P03388|At6.7|Conus aristophanes|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus aristophanes,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
