mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,cystein_framework,pharmacological_family,evidence
P07048,P07048|Vx164 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07049,P07049|Vx184 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07050,P07050|Vx105 precursor|Conus vexillum|Precursor|conotoxin|D superfamily||XX|nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,XX,nucleic acid level
P07052,P07052|Vx185 precursor|Conus vexillum|Precursor|conotoxin|F superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,F superfamily,,,nucleic acid level
P07054,P07054|Vx65 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07056,P07056|Vx78 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07058,P07058|Vx79 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07060,P07060|Vx221 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07062,P07062|Vx3 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07065,P07065|Vx4 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07067,P07067|Vx5 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07069,P07069|Vx6 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07071,P07071|Vx7 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07073,P07073|Vx8 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07075,P07075|Vx9 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07077,P07077|Vx10 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07079,P07079|Vx11 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07081,P07081|Vx12 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07083,P07083|Vx13 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07085,P07085|Vx14 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07087,P07087|Vx15 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07089,P07089|Vx17 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07091,P07091|Vx18 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07093,P07093|Vx19 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07095,P07095|Vx20 precursor|Conus vexillum|Precursor|conantokin|B2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conantokin,B2 superfamily,,,nucleic acid level
P07097,P07097|Vx21 precursor|Conus vexillum|Precursor|conotoxin|C superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,C superfamily,,,nucleic acid level
P07098,P07098|Vx25|Conus vexillum|Precursor|con-ikot-ikot|||XXI|nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,XXI,nucleic acid level
P07099,P07099|Vx25 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07102,P07102|Vx26 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07103,P07103|Vx27 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07105,P07105|Vx29 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07107,P07107|Vx32 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07108,P07108|Vx33 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07110,P07110|Vx34 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07111,P07111|Vx63 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07113,P07113|Vx35 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07114,P07114|Vx50 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07116,P07116|Vx36 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07117,P07117|Vx57 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07119,P07119|Vx37 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07120,P07120|Vx46 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07122,P07122|Vx38 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07123,P07123|Con-ikot-ikot-Vx40 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07125,P07125|Vx39 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07127,P07127|Vx42 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07128,P07128|Vx64 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07130,P07130|Vx43 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07132,P07132|Vx47 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07134,P07134|Con-ikot-ikot-Vx48 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07136,P07136|Con-ikot-ikot-Vx49 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07138,P07138|Vx51 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07140,P07140|Vx52 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07142,P07142|Vx53 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07143,P07143|Vx62 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07145,P07145|Vx54 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07147,P07147|Vx55 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07149,P07149|Vx56 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07151,P07151|Vx58 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07153,P07153|Vx59 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07155,P07155|Vx60 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07157,P07157|Vx61 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07159,P07159|Vx66 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07161,P07161|Vx67 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07163,P07163|Vx68 prescursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07165,P07165|Vx69 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07167,P07167|Vx70 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07169,P07169|Vx71 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07171,P07171|Vx72 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07173,P07173|Vx73 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07175,P07175|Vx74 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07177,P07177|Vx75 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07179,P07179|Vx76 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07181,P07181|Vx77 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07183,P07183|Vx80 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07187,P07187|Vx82 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07189,P07189|Vx83 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07191,P07191|Vx84 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07193,P07193|Vx85 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07195,P07195|Vx86 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07197,P07197|Vx87 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07199,P07199|Vx88 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07201,P07201|Vx89 precursor|Conus vexillum|Precursor|con-ikot-ikot||||nucleic acid level,Conus vexillum,Precursor,con-ikot-ikot,,,,nucleic acid level
P07203,P07203|Vx90 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07205,P07205|Vx91 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07207,P07207|Vx92 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07209,P07209|Vx93 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07211,P07211|Vx94 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07212,P07212|Vx95|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07213,P07213|Vx95 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07215,P07215|Vx96 precursor|Conus vexillum|Precursor|conantokin||||nucleic acid level,Conus vexillum,Precursor,conantokin,,,,nucleic acid level
P07217,P07217|Vx103 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07219,P07219|Vx104 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07221,P07221|Vx106 precursor|Conus vexillum|Precursor|conotoxin|D superfamily||XIV|nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,XIV,nucleic acid level
P07222,P07222|Vx136 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07224,P07224|Vx107 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07226,P07226|Vx108 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07228,P07228|Vx110 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07230,P07230|Vx111 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07231,P07231|Vx118 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07233,P07233|Vx112 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07235,P07235|Vx113 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07237,P07237|Vx114 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07238,P07238|Vx115 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07239,P07239|Vx120 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07240,P07240|Vx134 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07241,P07241|Vx147 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07242,P07242|Vx149 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07243,P07243|Vx158 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07244,P07244|Vx159 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07246,P07246|Vx117 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07247,P07247|Vx162 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07249,P07249|Vx119 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07251,P07251|Vx121 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07253,P07253|Vx122 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07255,P07255|Vx123 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07257,P07257|Vx124 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07258,P07258|Vx182 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07260,P07260|Vx125 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07262,P07262|Vx126 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07264,P07264|Vx127 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07266,P07266|Vx128 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07268,P07268|Vx129 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07272,P07272|Vx133 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07274,P07274|Vx137 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07276,P07276|Vx138 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07278,P07278|Vx139 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07280,P07280|Vx140 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07282,P07282|Vx143 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07284,P07284|Vx144 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07286,P07286|Vx145 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07288,P07288|Vx146 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07290,P07290|Vx148 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07292,P07292|Vx150 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07294,P07294|Vx151 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07296,P07296|Vx152 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07298,P07298|Vx153 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07300,P07300|Vx155 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07302,P07302|Vx156 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07304,P07304|Vx157 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07306,P07306|Vx160 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07308,P07308|Vx161 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07310,P07310|Vx165 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07312,P07312|Vx166 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07314,P07314|Vx167 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07316,P07316|Vx168 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07318,P07318|Vx169 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07320,P07320|Vx170 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07322,P07322|Vx171 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07324,P07324|Vx172 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07326,P07326|Vx173 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07328,P07328|Vx174 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07330,P07330|Vx175 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07332,P07332|Vx176 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07334,P07334|Vx177 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07336,P07336|Vx178 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07338,P07338|Vx187 precursor|Conus vexillum|Precursor|conotoxin|I2 superfamily||XIII|nucleic acid level,Conus vexillum,Precursor,conotoxin,I2 superfamily,,XIII,nucleic acid level
P07340,P07340|Vx188 precursor|Conus vexillum|Precursor|conotoxin|I2 superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,I2 superfamily,,,nucleic acid level
P07342,P07342|Vx179 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07344,P07344|Vx180 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07346,P07346|Vx181 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07348,P07348|Vx183 precursor|Conus vexillum|Precursor|conotoxin|D superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,D superfamily,,,nucleic acid level
P07350,P07350|Vx189 precursor|Conus vexillum|Precursor|conotoxin|I2 superfamily||XI|nucleic acid level,Conus vexillum,Precursor,conotoxin,I2 superfamily,,XI,nucleic acid level
P07352,P07352|Vx190 precursor|Conus vexillum|Precursor|conotoxin|I3 superfamily||XI|nucleic acid level,Conus vexillum,Precursor,conotoxin,I3 superfamily,,XI,nucleic acid level
P07354,P07354|Vx191 precursor|Conus vexillum|Precursor|conotoxin|J superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,J superfamily,,,nucleic acid level
P07356,P07356|Vx192 precursor|Conus vexillum|Precursor|conotoxin|J superfamily|||nucleic acid level,Conus vexillum,Precursor,conotoxin,J superfamily,,,nucleic acid level
