mapped_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P03149,Conus pennaceus,Wild type,conotoxin,A superfamily,NA,I,nucleic acid level,5.7679644,0.18299554,4.118657,-1.8487341,-1.0418739,-0.5534931,
P03150,Conus leopardus,Wild type,conotoxin,A superfamily,NA,I,nucleic acid level,7.156116,1.4618499,4.538057,-0.82219076,-1.0755594,-0.82696474,
P03151,Conus lividus,Wild type,conotoxin,A superfamily,NA,I,nucleic acid level,7.2477407,2.132425,4.813243,-0.3802993,-0.8858683,-0.78899443,
P03152,Conus miliaris,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.7316856,6.175403,-3.1201115,-2.0920358,0.6355154,1.1119437,
P03153,Conus miliaris,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.6139536,6.6732507,-3.532346,-1.9805701,0.77898306,1.115768,
P03154,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,10.849011,-1.81079,5.7267733,-1.6440077,-1.6716126,-0.33197138,
P03155,Conus arenatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,10.770865,-2.0933583,5.5756407,-2.0986235,-1.730934,-0.20623128,
P03156,Conus textile,Wild type,conotoxin,M superfamily,NA,III,protein level,10.292182,-2.107946,5.9789968,-1.9345487,-1.5167332,-0.20738639,
P03157,Conus textile,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.196983,0.25525358,7.6116605,-1.4116048,-1.4089384,-0.09311679,
P03158,Conus textile,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.981846,-1.576702,4.710361,-1.1826563,-1.4828715,-0.5260346,
P03159,Conus textile,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.877352,-2.651644,5.1299653,-1.9430653,-1.5657375,-0.38596717,
P03160,Conus textile,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.470044,0.24429238,4.4238124,-1.1526864,-1.5042684,-0.3501448,
P03161,Conus ventricosus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,11.204049,-2.2035587,5.2584677,-1.8362575,-1.6690196,-0.19027655,
P03162,Conus textile,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,10.887365,-1.1996078,5.1850214,-1.2139803,-1.6865855,-0.22005524,
P03163,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,12.005085,-3.3959546,5.5720234,-1.8457516,-1.464967,-0.5081216,
P03164,Conus ventricosus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,12.093234,-3.0890472,5.2686768,-1.5630343,-1.3922011,-0.6010888,
P03165,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,11.803267,-3.2858915,5.674503,-1.8519071,-1.5143352,-0.45847094,
P03166,Conus ventricosus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,11.791355,-3.34745,5.741648,-1.8519071,-1.5143352,-0.45847094,
P03167,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,11.500537,-2.7855332,5.699552,-1.9716387,-1.5802559,-0.14325684,
P03168,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,11.392951,-2.669142,5.7311735,-1.9134839,-1.608099,-0.24870437,
P03169,Conus pennaceus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.573024,-0.07355927,5.7562146,-0.9557729,-1.565305,-0.18230365,
P03170,Conus textile,Wild type,conotoxin,M superfamily,NA,III,protein level,9.648189,-0.023997702,5.7945466,-1.0330648,-1.4595572,-0.06635824,
P03171,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.291764,1.1242318,5.800941,-0.3973396,-1.3793663,-0.18904832,
P03172,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.232418,0.62151283,6.527972,-0.95253927,-1.4885024,-0.19994666,
P03173,Conus ventricosus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,8.817493,0.97535884,6.807459,-0.5188134,-1.284774,-0.4360662,
P03174,Conus ventricosus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,12.139936,5.589623,6.053192,2.260064,-0.373669,0.32619599,
P03175,Conus ventricosus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,8.576337,1.1046251,6.851369,-0.7917179,-1.4830863,-0.14927444,
P03176,Conus pennaceus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,11.053137,4.2474165,4.5986094,1.2352678,-0.7729587,0.60034996,
P03177,Conus tessulatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,9.195498,0.88602424,6.528187,-0.9087763,-1.460714,-0.033938408,
P03178,Conus arenatus,Wild type,conotoxin,M superfamily,NA,III,nucleic acid level,10.230753,-0.27480865,4.447107,-0.9572055,-1.9067051,-0.30928954,
P03179,Conus pennaceus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.980988,2.72769,5.058212,0.7738896,-1.4945186,0.69239914,
P03180,Conus textile,Wild type,conotoxin,T superfamily,NA,V,protein level,11.028901,2.0287545,4.974892,-0.02702309,-1.6538789,0.581317,
P03181,Conus textile,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,12.063825,3.8742988,5.5137987,1.7993784,-1.011409,1.1236492,
P03182,Conus ventricosus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.551375,0.90314054,5.349676,-1.2029353,-1.7355945,0.03016144,
P03183,Conus ventricosus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.427817,1.8213407,5.2030373,-0.16357715,-1.5289487,0.31378058,
P03184,Conus ventricosus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.406959,1.1007273,5.3752685,-0.82334965,-1.6233654,0.18989855,
P03185,Conus textile,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,12.788455,4.4277253,6.0408454,2.3569922,-0.49527904,0.8405081,
P03186,Conus ventricosus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.748992,4.551488,4.4890156,1.3708658,-0.74326056,0.49337023,
P03187,Conus tessulatus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,12.376881,5.1682115,5.2091265,2.4936538,-0.27861574,0.82398057,
P03188,Conus pennaceus,Wild type,conotoxin,T superfamily,NA,X,nucleic acid level,11.042236,0.14837849,4.965606,-0.9967826,-1.6206623,-0.38901517,
P03189,Conus pennaceus,Wild type,unclassified,T superfamily,NA,NA,nucleic acid level,13.933109,3.4524143,6.14944,1.7714099,-0.7478791,0.33131745,
P03190,Conus tessulatus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.87466,1.5263927,5.4328856,-0.6165416,-1.584322,0.048647832,
P03191,Conus tessulatus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,9.856443,7.867767,6.127659,1.1289146,0.0017678338,-0.066109434,
P03192,Conus arenatus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,9.900254,7.9737396,5.9371,1.2072788,0.3184238,-0.42721975,
P03193,Conus pennaceus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.056049,3.5681093,4.9824195,1.1639267,-0.8770857,0.778304,
P03194,Conus arenatus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,10.38228,3.5283475,6.151203,0.9337423,-0.40944645,0.11082163,
P03195,Conus arenatus,Wild type,conotoxin,T superfamily,NA,XVI,nucleic acid level,11.352514,3.7412868,5.408601,1.522652,-0.7681228,0.9135728,
P03196,Conus ventricosus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.374308,6.9881206,5.2942567,2.1800725,0.29996076,0.3926399,
P03197,Conus ventricosus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.380459,7.075077,5.38072,2.2403417,0.23269065,0.27055937,
P03198,Conus tessulatus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,9.651234,7.778143,6.127053,0.61319834,-0.25527465,-0.2294826,
P03199,Conus ventricosus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.512661,5.601434,-1.4451369,-0.8195524,0.715228,0.7694208,
P03200,Conus ventricosus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.409155,5.491438,-1.576562,-0.9727935,0.5989974,0.7734929,
P03201,Conus ventricosus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.313423,5.426141,-2.3356009,-1.5997984,0.6316279,1.3042942,
P03202,Conus ventricosus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,9.0875025,5.5251803,-1.5271184,-0.48835763,0.23743789,0.9477285,
P03203,Conus ventricosus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.057098,5.7382197,-1.5958016,-0.98943347,0.7966353,0.67392004,
P03204,Conus ventricosus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,9.846786,6.89815,-1.3700906,-1.3698606,0.15968686,0.8903587,
P03205,Conus ventricosus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,9.812193,6.760261,-1.5361781,-1.498385,0.16676895,0.9277628,
P03206,Conus tessulatus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.803767,5.581777,-1.4585177,-0.7347076,0.57126135,0.6361396,
P03207,Conus tessulatus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.477936,5.373378,-2.379227,-1.7028768,0.46005416,0.91435814,
P03208,Conus textile,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.866895,5.8949747,-1.6521016,-1.0653973,0.4586965,0.8977151,
P03209,Conus textile,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.449843,5.5917473,-2.2075238,-1.278573,0.65027016,0.74607426,
P03210,Conus textile,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.391534,5.1767325,-2.3215926,-1.3131696,0.6260029,1.0714028,
P03211,Conus textile,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.183939,5.2859087,-2.2951605,-1.3811687,0.64265245,1.1316361,
P03212,Conus textile,Wild type,conotoxin,O2 superfamily,NA,VI/VII,protein level,7.191952,7.320775,-3.1148286,-1.8357387,0.52830356,0.6735743,
P03213,Conus pennaceus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.53498,5.8765435,-2.6516504,-1.4359026,0.14160061,0.98163646,
P03214,Conus pennaceus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.905048,5.502874,-1.8280234,-1.0434841,0.539093,0.8467175,
P03215,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.575991,8.180806,-2.5612519,-1.9433273,0.48047173,0.6626227,
P03216,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.386538,8.370384,-2.3481724,-1.6448144,0.46012458,0.5068807,
P03217,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.52453,8.071812,-2.7030506,-1.7156171,0.15315382,0.5972883,
P03218,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.34684,8.176393,-2.389517,-1.6926894,0.44430035,0.48792255,
P03219,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.270863,7.692791,-1.8684368,-1.5096241,0.43812698,0.6453688,
P03220,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.876685,7.513854,-2.6177669,-1.911241,0.48853815,1.0486329,
P03221,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.550012,8.022047,-2.4333038,-1.7313063,0.46445957,0.6222291,
P03222,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.088714,6.8904223,-0.98912394,-0.559385,0.24829696,0.45487446,
P03223,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.30692,5.6006002,-4.0609083,-1.9916191,0.95799124,1.5847337,
P03224,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.2801867,5.6006937,-4.1913753,-2.0460842,0.97507393,1.6045655,
P03225,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.1595902,8.313249,-1.1004789,-1.6761729,0.5478991,0.7177204,
P03226,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.2398086,8.313811,-0.9645871,-1.5323877,0.53261364,0.73500335,
P03227,Conus ventricosus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,8.67486,6.263754,1.4220724,-0.007102743,0.13569906,-0.07290421,
P03228,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.63309,6.3478374,-0.40014553,0.7474498,0.20848668,1.2291603,
P03229,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.768292,6.4871264,-1.1574712,-0.0327089,0.3064405,1.0316141,
P03230,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.912004,6.55203,-1.683518,-0.82865775,0.4522296,0.8198722,
P03231,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.127816,6.5171285,-2.0190952,-1.1240982,0.4488045,0.7530879,
P03232,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.6381445,6.45925,-1.5034955,-0.47047773,0.30439314,0.96091115,
P03233,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,8.316019,7.777762,-0.46689552,-0.9841739,0.7101215,0.4743775,
P03234,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,8.247563,7.821507,-0.76609397,-1.1550044,0.5798738,0.73957586,
P03235,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.065171,8.452551,-1.0042613,-1.6876918,0.74002755,0.8750216,
P03236,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.071263,7.936807,-1.4213262,-1.7375805,0.7126177,0.96641344,
P03237,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.574593,7.502926,-0.69775337,-0.79616714,0.38417596,0.77915543,
P03238,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.5109267,5.812028,-3.0106966,-2.2293022,0.9773704,1.1187735,
P03239,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.4918566,5.7054477,-3.0340536,-2.1774025,1.014787,1.095867,
P03240,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.465783,5.717328,-2.9647975,-2.233675,0.998367,1.2096117,
P03241,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.911921,5.9093366,-2.76679,-1.687187,0.9143957,1.2181925,
P03242,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.0061502,5.8968825,-2.7670152,-1.6985652,0.83149594,1.2484299,
P03243,Conus arenatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.608875,7.6375356,-0.42259538,-0.8864439,0.5629953,0.7769793,
P03244,Conus tessulatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.040343,6.082659,2.7903652,0.65313,-0.5849748,0.4681224,
P03245,Conus tessulatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.107515,6.1654825,2.7648697,0.6908224,-0.5952404,0.46633652,
P03246,Conus tessulatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.062649,6.027538,2.8594332,0.6686842,-0.6682996,0.32838076,
P03247,Conus tessulatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.089559,6.2787633,3.3207936,1.2957361,-0.20311579,0.4944982,
P03248,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.545707,6.53245,2.919578,1.2458771,-0.11786532,0.541175,
P03249,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.18396,6.672416,2.7799604,0.7922786,0.0072327033,0.07547613,
P03250,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.28953,6.7089376,2.848392,0.790162,0.029265422,0.030192733,
P03251,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.211474,6.5812545,2.9078915,0.7759273,0.029025333,0.10559546,
P03252,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.265079,6.341773,2.792638,0.8621675,-0.21448323,0.31184515,
P03253,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.423346,6.702742,2.8028693,1.0744768,-0.031116735,0.37445948,
P03254,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.631553,6.36451,3.2767413,1.4265227,-0.28579196,0.8386316,
P03255,Conus arenatus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.627299,6.4170914,2.90382,1.1349537,-0.15260088,0.55432516,
P03256,Conus pennaceus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.549252,6.2584066,3.2200298,1.331908,-0.3124739,0.7859067,
P03257,Conus pennaceus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.147303,6.6707006,2.8426418,0.7759273,0.029025333,0.10559546,
P03258,Conus ventricosus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.058856,6.356265,3.1882527,1.0970504,-0.26145235,0.3671082,
P03259,Conus ventricosus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,10.082557,6.1391025,3.3645098,1.3356696,-0.26510802,0.4223671,
P03260,Conus ventricosus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,9.60415,5.9949536,3.04298,0.7011041,-0.37916058,0.18942416,
P03261,Conus ventricosus,Wild type,conotoxin,O3 superfamily,NA,VI/VII,nucleic acid level,9.72529,6.1827946,2.8963,0.67752737,-0.29248956,0.093758486,
P03262,Conus pennaceus,Wild type,conotoxin,NA,NA,IV,nucleic acid level,9.916824,-0.48493463,5.402659,-1.1110232,-1.6171176,-0.15249398,
P03263,Conus arenatus,Wild type,conotoxin,NA,NA,VI/VII,nucleic acid level,10.825144,6.503728,3.2144318,1.6385468,-0.20722547,1.0607371,
P03264,Conus tessulatus,Wild type,conotoxin,NA,NA,V,nucleic acid level,9.51185,7.7877955,6.168904,0.13455243,-0.25049293,-0.88505644,
P03265,Conus pennaceus,Wild type,conotoxin,NA,NA,III,nucleic acid level,9.226587,0.30388394,7.2902455,-0.9528107,-1.4701194,-0.209027,
P03266,Conus pennaceus,Wild type,conotoxin,NA,NA,III,nucleic acid level,9.570272,0.2771983,5.478046,-0.8539753,-1.3147213,-0.40833712,
P03267,Conus californicus,Wild type,conotoxin,O1 superfamily,NA,XII,nucleic acid level,10.328712,5.069011,1.1993314,0.62052655,-0.46378216,0.33943373,
P03268,Conus californicus,Wild type,conotoxin,O1 superfamily,NA,XII,nucleic acid level,10.382616,5.17014,1.0771682,0.45485818,-0.40497863,0.4568024,
P03269,Conus californicus,Wild type,conotoxin,O1 superfamily,NA,XII,nucleic acid level,9.497851,5.7937784,0.5301525,-0.5190914,-0.09665612,0.3192477,
P03270,Conus californicus,Wild type,conotoxin,O1 superfamily,NA,XII,nucleic acid level,9.509295,5.7447658,0.63656175,-0.3784475,-0.16719463,0.25969476,
P03271,Conus vexillum,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,12.548841,5.2250004,4.8089185,2.0621936,0.0054239742,1.1365092,
P03272,Conus virgo,Wild type,conotoxin,I2 superfamily,NA,XI,nucleic acid level,8.827028,6.8872075,-1.1907349,-0.7512933,-0.02460045,0.971299,
P03273,Conus ermineus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.550856,6.65084,-1.3983078,-0.88961464,0.20280594,0.5727721,
P03274,Conus ermineus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.634036,7.13446,-3.465111,-1.9036245,0.54924244,0.7321609,
P03275,Conus striatus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,nucleic acid level,8.541342,7.4332027,-4.0177794,-2.0155838,0.30485925,0.98281175,
P03276,Conus lividus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.4344916,5.9390426,-3.4913373,-2.5305285,1.0438308,1.3002695,
P03277,Conus lividus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.3396,5.774674,-3.3348377,-2.4310894,1.0875158,1.3519241,
P03278,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.2408867,7.179309,-2.4516985,-1.6344475,0.9873089,0.8686918,
P03279,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.3823867,7.215529,-2.5540934,-1.3992655,0.7945714,0.7424975,
P03280,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.187198,7.2031474,-2.5746837,-1.5139147,0.9693032,0.8684986,
P03281,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.809817,6.0408044,-3.186276,-2.1025,0.77461576,1.2035578,
P03282,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.6599236,5.785237,-3.266517,-2.1473446,0.7214463,1.2398069,
P03283,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.7076373,6.023936,-3.1381602,-2.1221418,0.7619267,1.076431,
P03284,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.701817,6.6017914,-3.2940595,-1.9569919,0.8808728,0.9003454,
P03285,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.7492223,6.695198,-3.3226085,-1.8159554,0.88628113,0.9293823,
P03286,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.5453672,7.235343,-2.3336453,-1.252664,0.6841271,0.8398613,
P03287,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.3586226,5.788558,-2.4960113,-1.5780216,0.77431655,1.0252583,
P03288,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.6768646,6.853389,-3.5518494,-1.972445,0.8450531,1.0111659,
P03289,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,6.638642,7.0457582,-3.5797112,-1.8062775,0.81970906,1.040548,
P03290,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.193146,5.787869,-4.2206407,-2.0109255,1.0479679,1.2978809,
P03291,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.1748357,5.81079,-4.1885552,-1.9864148,0.9281949,1.3471621,
P03292,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.22988,5.730723,-4.0921054,-2.0003736,1.0231289,1.3894327,
P03293,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,NA,nucleic acid level,7.330355,5.8809166,-4.099508,-1.413739,0.6673598,1.2290624,
P03294,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.3455787,5.5640087,-3.989854,-1.9816552,1.0355989,1.5818235,
P03295,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.1898413,7.0898886,-2.6154103,-1.708643,0.9689599,0.8909803,
P03296,Conus miles,Wild type,conotoxin,I2 superfamily,NA,XI,nucleic acid level,8.156575,7.198996,-2.129658,-1.5977496,0.4760501,1.0613073,
P03297,Conus vexillum,Wild type,conotoxin,I2 superfamily,NA,XI,nucleic acid level,8.599399,7.0149026,-1.229215,-0.8784558,0.08943252,0.9689276,
P03298,Conus vexillum,Wild type,conotoxin,I2 superfamily,NA,XI,nucleic acid level,8.601757,6.9507103,-1.2369386,-0.91687226,0.12778842,0.991421,
P03299,Conus pennaceus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,10.46516,6.3890295,-1.6846782,-0.5830854,0.24166645,0.9221163,
P03300,Conus pennaceus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.377317,6.907945,-2.8678136,-1.5039297,0.45456064,0.8185344,
P03301,Conus pennaceus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.160146,7.160858,-1.4287245,-0.78428704,0.53188586,0.6077965,
P03302,Conus textile,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,12.07273,7.05694,-3.8436224,-2.162813,0.7337857,1.2400556,
P03303,Conus textile,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,12.163757,6.9856877,-3.0824506,-1.8750994,0.5772911,1.2520939,
P03304,Conus textile,Wild type,conotoxin,O1 superfamily,NA,VI/VII,protein level,11.382886,6.612014,-2.2503755,-1.3384938,0.46451232,0.70371175,
P03305,Conus textile,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,8.400164,5.734333,-3.5495348,-1.9452463,0.71321535,1.2812157,
P03306,Conus textile,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.345048,8.179083,-2.4370134,-1.8734188,0.4494159,0.78371876,
P03307,Conus textile,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.185895,6.7608237,-1.4999353,-0.30171865,0.26670262,0.613396,
P03308,Conus striatus,Wild type,conotoxin,NA,NA,XVIII,nucleic acid level,12.697858,6.2861443,6.8090496,2.536253,0.10731051,0.45478025,
P03309,Conus litteratus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.6033964,5.817565,-2.2300346,-1.4300402,0.80087847,1.0647017,
P03310,Conus textile,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.228183,5.05513,-2.4011493,-1.4231452,0.7099877,1.137323,
P03311,Conus betulinus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.658306,5.4410744,-1.5162958,-0.80555433,0.62268937,0.9436858,
P03312,Conus litteratus,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.947036,5.8831773,-1.7031152,-1.0653973,0.4586965,0.8977151,
P03313,Conus vexillum,Wild type,conotoxin,O2 superfamily,NA,VI/VII,nucleic acid level,8.372123,5.4993896,-2.4136062,-1.5777446,0.5966401,1.2585058,
P03314,Conus lividus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,9.448484,6.423602,-0.616853,-0.2998926,0.34887338,0.4309002,
P03315,Conus capitaneus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,7.317135,8.693889,-0.73651826,-1.6853492,0.64607596,0.63130695,
